일자,시가,저가,고가,종가,거래량
2013-01-02,334500,334000,341000,340000,284977
2013-01-03,344500,338000,345000,342500,254304
2013-01-04,344000,329000,344500,331000,351729
2013-01-07,331000,321000,332000,325500,283503
2013-01-08,324500,321000,327500,325500,185995
2013-01-09,326500,324000,328000,324000,133332
2013-01-10,323000,319000,333000,327500,230589
2013-01-11,330500,323000,331000,324000,154447
2013-01-14,321000,316000,323000,318500,252819
2013-01-15,318500,315000,323000,316000,144006
2013-01-16,315500,310500,318000,313500,243807
2013-01-17,315500,315000,320500,318500,159168
2013-01-18,323000,315500,323000,317500,95678
2013-01-21,320000,314500,320000,316000,95727
2013-01-22,315500,310500,317500,312500,178258
2013-01-23,313500,310500,317000,312000,144911
2013-01-24,313000,309000,315500,310500,153788
2013-01-25,312500,306000,313000,309000,157609
2013-01-28,310000,307500,311500,309000,107808
2013-01-29,309000,309000,316000,313000,197586
2013-01-30,312000,301000,313500,302000,557129
2013-01-31,302500,302000,307000,304500,276183
2013-02-01,305500,300500,306000,302500,156588
2013-02-04,308000,301000,308500,302500,147292
2013-02-05,299000,297000,300500,298000,188612
2013-02-06,296000,291000,298000,292500,319720
2013-02-07,292000,291500,294500,292500,245024
2013-02-08,294000,292500,297500,295500,212060
2013-02-12,295000,294000,299500,296500,155342
2013-02-13,297500,297500,303500,302000,233414
2013-02-14,302000,301000,305500,302500,148829
2013-02-15,303000,300500,304000,304000,109094
2013-02-18,304000,302000,306500,306000,115935
2013-02-19,304500,300000,306000,301500,180213
2013-02-20,303000,302500,307000,306000,237204
2013-02-21,304500,302500,305500,303500,170396
2013-02-22,301000,299500,303500,300500,302565
2013-02-25,302000,299000,302500,299500,132356
2013-02-26,297500,295500,300000,299000,186637
2013-02-27,300000,292500,300000,294500,331663
2013-02-28,296500,295000,298500,296500,215280
2013-03-04,295000,285500,296500,287500,578425
2013-03-05,287500,285500,289500,286000,314417
2013-03-06,289000,288000,292000,288000,270922
2013-03-07,288500,285000,289500,286000,186403
2013-03-08,288500,286000,289000,286500,144838
2013-03-11,285500,281000,286000,283000,243737
2013-03-12,283000,280500,286000,281000,260290
2013-03-13,281500,275000,283000,280000,282197
2013-03-14,278500,275000,280000,277500,310483
2013-03-15,279000,272000,279500,273000,434740
2013-03-18,270500,267000,271500,268500,369303
2013-03-19,269500,267000,271500,267000,265964
2013-03-20,266000,266000,273500,270000,302274
2013-03-21,273000,273000,279000,275500,387081
2013-03-22,276500,271000,281000,272000,345097
2013-03-25,275000,270000,275000,272500,218205
2013-03-26,272000,267500,272500,270000,328811
2013-03-27,271500,267000,272000,270000,293491
2013-03-28,270500,265000,272000,265000,508765
