일자,시가,저가,고가,종가,거래량
2013-01-02,91100,90700,93500,93300,78764
2013-01-03,94300,92500,94500,93700,81956
2013-01-04,94600,94000,100500,99900,263981
2013-01-07,101900,99900,104200,103700,277976
2013-01-08,102100,101500,103700,103000,155050
2013-01-09,103000,101200,103600,102500,133854
2013-01-10,102100,101000,104300,104000,77529
2013-01-11,105000,102200,105400,103300,104061
2013-01-14,104500,102000,104600,104000,63334
2013-01-15,104700,101300,104700,101800,66086
2013-01-16,101200,101200,103100,102300,22130
2013-01-17,102000,100700,103000,102900,36050
2013-01-18,103500,101400,103600,103000,18605
2013-01-21,103000,101300,103500,102700,50397
2013-01-22,103000,102600,103700,103000,48582
2013-01-23,103500,102000,105500,104500,108700
2013-01-24,104500,102500,104900,103000,64212
2013-01-25,103300,102100,104200,103000,69627
2013-01-28,102100,102000,103300,103000,41607
2013-01-29,102500,102000,103900,103700,26583
2013-01-30,103700,102900,104000,104000,61189
2013-01-31,104000,102100,104500,102100,35073
2013-02-01,102300,102100,105100,105000,74953
2013-02-04,105600,105000,107200,105700,35939
2013-02-05,105300,102100,105300,104300,51659
2013-02-06,104600,103500,108300,108300,96333
2013-02-07,108300,107500,109600,107500,95379
2013-02-08,107600,107600,109400,108500,77046
2013-02-12,108900,107600,109000,108600,29381
2013-02-13,108900,108600,110500,109700,105614
2013-02-14,108500,102000,109500,103000,278120
2013-02-15,103900,99100,103900,99100,310374
2013-02-18,99100,97300,99500,98500,114529
2013-02-19,97800,96400,99000,97400,174379
2013-02-20,97400,96600,98300,97500,159402
2013-02-21,97100,95600,97500,96600,116923
2013-02-22,96800,96300,97400,97100,98580
2013-02-25,97400,96600,97800,96600,70650
2013-02-26,96100,94400,96800,95700,113565
2013-02-27,96000,95000,96200,95700,98349
2013-02-28,96300,95500,96700,95600,75732
2013-03-04,95300,94600,96300,94600,161344
2013-03-05,95500,94800,96000,95000,88002
2013-03-06,95600,94400,95700,94600,127644
2013-03-07,94100,94000,94800,94400,41636
2013-03-08,94600,93200,95000,93300,66000
2013-03-11,93200,91600,93900,92800,57779
2013-03-12,92500,92500,93500,92700,49921
2013-03-13,92500,89700,93500,90100,170856
2013-03-14,90500,88700,90700,88700,104268
2013-03-15,89600,89600,91600,91600,90294
2013-03-18,91600,89500,91700,90800,54844
2013-03-19,91000,91000,92200,91900,62278
2013-03-20,91800,89900,92200,91600,64908
2013-03-21,91100,90500,92000,91500,58308
2013-03-22,92200,91100,92500,91700,89856
2013-03-25,92100,91600,92600,91700,57579
2013-03-26,92100,91200,92200,92000,42384
2013-03-27,92400,90600,92400,91500,95789
2013-03-28,91000,91000,92000,91200,31016
2013-03-29,91500,91000,92100,91700,75441
2013-04-01,92700,91700,93200,92900,79096
2013-04-02,93100,90600,93300,91300,76739
2013-04-03,91200,89500,91600,89900,73156
2013-04-04,89500,88300,91100,90500,62455
2013-04-05,90800,89400,91900,89500,38102
2013-04-08,89800,84800,89900,85900,128589
2013-04-09,85900,84000,87200,85400,99281
2013-04-10,85700,85000,87100,86800,75773
2013-04-11,86300,85800,87500,86700,72343
2013-04-12,87200,84900,87400,85000,63434
2013-04-15,85600,82300,85800,82300,118383
2013-04-16,82000,81800,87400,87400,112382
2013-04-17,87500,86300,88400,87300,63026
2013-04-18,86600,84500,87500,84500,35391
2013-04-19,85500,84800,88200,87200,58258
2013-04-22,87700,87000,89500,88200,49745
2013-04-23,88000,87200,91000,91000,137755
2013-04-24,90400,89100,90800,90800,59808
2013-04-25,90800,90000,91600,90800,44407
2013-04-26,90700,90500,91500,90800,36071
2013-04-29,90700,90700,92400,91500,55853
2013-04-30,91600,90000,91600,90000,61896
2013-05-02,90000,90000,91300,90800,43188
2013-05-03,90800,90300,92000,91000,30829
2013-05-06,91200,90900,92000,91700,34232
2013-05-07,92000,91800,93900,93200,68088
2013-05-08,93000,91200,93300,91800,58364
2013-05-09,91500,90200,91800,90600,97377
2013-05-10,90700,89700,91300,90000,76934
2013-05-13,90000,87200,90300,87500,136327
2013-05-14,88000,86400,88300,86500,126754
2013-05-15,87000,85800,87500,86000,72483
2013-05-16,86300,86300,88300,87800,121984
2013-05-20,87600,87600,89400,88600,96088
2013-05-21,88000,87600,89100,88500,95517
2013-05-22,88600,87400,89100,87600,71631
2013-05-23,87300,85300,88200,85300,63331
2013-05-24,86000,84400,86700,84900,83950
2013-05-27,85000,82700,85300,83000,136629
2013-05-28,83000,82700,83600,83600,126869
2013-05-29,84000,83900,86700,86200,108162
2013-05-30,86100,84600,87900,85700,108320
2013-05-31,85700,84200,85700,85300,84874
2013-06-03,85000,83000,85000,83100,104612
2013-06-04,83300,82700,84200,83300,60498
2013-06-05,82900,81000,83700,81200,96304
2013-06-07,80500,77000,81200,79100,171855
2013-06-10,79200,78000,81200,80700,95700
2013-06-11,80300,79800,81100,79800,44512
2013-06-12,78900,78900,82000,81900,48448
2013-06-13,81400,81000,83100,82000,69843
2013-06-14,81800,81800,82900,82900,30536
2013-06-17,82500,79600,82700,81100,46625
2013-06-18,81000,81000,82100,81400,35010
2013-06-19,81500,80700,82100,81800,39518
2013-06-20,81000,80700,81900,81400,68941
2013-06-21,81400,80400,81700,81500,65569
2013-06-24,82300,80000,82400,81800,39366
2013-06-25,81200,79500,81800,81200,80714
2013-06-26,80500,77700,81600,78300,114170
2013-06-27,79000,78400,79800,79300,45997
2013-06-28,79300,78300,79800,78900,67668
2013-07-01,79100,78900,80400,80000,36491
2013-07-02,79800,79800,83000,82300,68237
2013-07-03,82800,81400,83800,82300,57362
2013-07-04,83100,82100,83600,83400,39513
2013-07-05,83400,82700,84200,83600,47123
2013-07-08,83100,82500,84500,84000,38779
2013-07-09,84100,82700,84200,84000,105680
2013-07-10,83700,82200,84200,84100,58037
2013-07-11,83400,83200,84300,84100,41612
2013-07-12,84800,83300,84800,83400,58944
2013-07-15,83300,83300,84500,83600,71186
2013-07-16,83100,83100,84100,83700,26331
2013-07-17,84000,83700,84700,83900,24083
2013-07-18,84000,83400,84200,83800,46176
2013-07-19,84000,83000,86000,85700,69157
2013-07-22,86100,85400,88100,87600,78019
2013-07-23,87000,86900,88100,87600,70299
2013-07-24,87200,86300,87700,87100,65051
2013-07-25,86900,86500,88000,86800,33240
2013-07-26,87800,87200,88700,88300,42536
2013-07-29,88300,85100,88500,87500,70435
2013-07-30,87400,86500,87800,87700,36419
2013-07-31,87500,86800,87700,87700,27573
2013-08-01,87900,87000,88000,87700,17317
2013-08-02,88000,86700,88300,87800,53370
2013-08-05,87500,87000,88400,88200,31723
2013-08-06,88300,88200,89900,88600,74253
2013-08-07,88600,88400,89700,89400,49058
2013-08-08,89200,88800,90000,89500,51107
2013-08-09,88800,87000,89300,89200,57964
2013-08-12,87300,85900,88200,86000,74873
2013-08-13,85500,85000,87200,86800,38791
2013-08-14,86000,85600,86800,86100,28785
2013-08-16,84900,84900,87900,87300,47539
2013-08-19,88000,87100,88100,88000,33423
2013-08-20,87200,87200,88200,88000,53858
2013-08-21,87400,87200,88100,88000,41482
2013-08-22,87900,86800,88500,87500,71646
2013-08-23,87600,87300,88700,88600,59828
2013-08-26,88600,87200,89300,87700,39371
2013-08-27,87200,86700,88300,87300,36333
2013-08-28,87000,85500,87200,86000,109307
2013-08-29,86400,86400,88700,87900,73387
2013-08-30,88000,84300,88000,85000,144996
2013-09-02,85000,84500,86900,86800,49702
2013-09-03,86000,85600,87200,85600,43736
2013-09-04,85400,85400,86900,85900,43256
2013-09-05,86200,85900,87000,86300,35466
2013-09-06,86500,85900,87700,87500,59093
2013-09-09,87900,86900,87900,87500,44213
2013-09-10,87500,87100,89000,88000,91651
2013-09-11,89000,88900,90100,89800,129153
2013-09-12,90100,88900,90600,90600,83757
2013-09-13,90600,90100,92300,91200,46494
2013-09-16,91000,90100,92000,91300,19996
2013-09-17,91000,89000,92300,92300,51472
2013-09-23,92300,91400,92900,92000,78873
2013-09-24,91100,90800,93900,93300,82264
2013-09-25,92800,92400,93700,93600,51641
2013-09-26,93200,91500,93800,93600,66875
2013-09-27,93200,92500,94000,93800,40276
2013-09-30,93700,92600,93800,92700,9883
2013-10-01,92000,92000,94900,94500,45417
2013-10-02,93500,93300,95900,95500,39660
2013-10-04,95500,94300,95500,94500,48902
2013-10-07,94000,93600,94900,94700,36533
2013-10-08,94700,92700,95000,94600,44582
2013-10-10,94900,93900,95500,94000,58754
2013-10-11,94300,93600,95000,94000,64796
2013-10-14,93300,92300,93800,92300,32173
2013-10-15,92500,91800,93500,92900,45435
2013-10-16,93000,89400,93400,89700,58939
2013-10-17,90600,86800,90600,89700,76060
2013-10-18,89100,87100,89400,87900,47383
2013-10-21,88000,88000,89800,89200,31188
2013-10-22,88800,88800,90600,89800,41361
2013-10-23,89800,88500,89800,88500,18679
2013-10-24,89000,88500,90200,89700,27700
2013-10-25,90100,88500,90100,88900,27731
2013-10-28,89000,87600,89900,89800,32963
2013-10-29,89800,89300,90300,90000,24027
2013-10-30,90000,88300,90500,89100,38907
2013-10-31,89400,87500,89400,88500,63430
2013-11-01,87800,87300,88500,87900,21356
2013-11-04,88000,87100,88300,87500,13667
2013-11-05,87100,85900,87400,86100,14973
2013-11-06,86300,86300,87800,87500,9641
2013-11-07,87100,87100,87900,87300,16899
2013-11-08,85700,85700,87700,87400,65135
2013-11-11,86800,85900,88200,87100,46241
2013-11-12,87000,85100,87400,85200,37629
2013-11-13,85000,83400,85100,83500,60763
2013-11-14,83700,81500,83900,81900,51497
2013-11-15,81900,81400,82700,81600,46409
2013-11-18,82000,81900,83100,82700,51151
2013-11-19,82700,82700,84800,84800,31427
2013-11-20,84000,82800,84100,83000,72883
2013-11-21,83200,82600,84100,83500,20784
2013-11-22,83400,82500,83800,83200,24471
2013-11-25,83400,82700,85000,82900,15262
2013-11-26,83100,82200,83500,82500,18817
2013-11-27,82500,81600,83000,82600,31439
2013-11-28,83100,83100,85200,84800,76094
2013-11-29,85000,84400,85400,84900,27289
2013-12-02,85300,83900,85700,84900,22658
2013-12-03,84200,84200,86300,84800,26687
2013-12-04,85000,84000,85500,84700,26553
2013-12-05,84700,84100,85200,84400,13064
2013-12-06,84400,84400,86800,86800,57082
2013-12-09,86500,84900,86700,85700,26760
2013-12-10,85200,84500,87000,87000,35960
2013-12-11,87400,86800,88800,87000,41043
2013-12-12,87600,85200,87700,85700,24216
2013-12-13,85400,85000,86500,85600,14228
2013-12-16,85600,85200,87300,86500,44301
2013-12-17,87200,86500,88800,88300,34046
2013-12-18,87800,86500,88500,88500,40494
2013-12-19,88800,86700,88800,86800,76689
2013-12-20,87000,86900,88100,87900,42963
2013-12-23,88100,86400,88600,86700,17655
2013-12-24,86400,86400,87800,87500,18320
2013-12-26,87500,85600,87600,85600,18395
2013-12-27,85600,85100,86000,85200,21422
2013-12-30,85200,83200,85300,84000,27729
2014-01-02,84800,84200,85800,85000,26117
2014-01-03,85700,84200,85700,84500,14093
2014-01-06,85400,83800,85400,84700,22197
2014-01-07,84200,84100,86300,85700,51675
2014-01-08,85800,84800,87200,84900,38350
2014-01-09,84900,82900,85700,83400,55010
2014-01-10,84200,83100,85000,84800,29821
2014-01-13,85000,84200,85900,85000,36886
2014-01-14,85200,83800,85700,85000,58115
2014-01-15,85900,83400,86000,83600,77377
2014-01-16,83000,82300,83600,82300,109685
2014-01-17,82100,80600,82200,81200,143294
2014-01-20,80900,80400,81400,80900,104841
2014-01-21,80800,80200,81400,81300,77631
2014-01-22,80900,80900,82300,81800,66985
2014-01-23,81900,81900,82900,82300,63151
2014-01-24,82100,80400,82100,80500,58186
2014-01-27,79000,77200,79100,77900,93135
2014-01-28,78200,77600,78800,78600,54543
2014-01-29,78600,78600,80000,80000,35304
2014-02-03,80000,79700,80700,80300,71100
2014-02-04,79700,78100,80200,80000,71552
2014-02-05,80000,79000,80100,80000,72902
2014-02-06,79900,78800,80500,78800,40961
2014-02-07,79500,78200,79500,79200,52878
2014-02-10,79500,78000,79500,78100,30547
2014-02-11,78400,77800,78700,78000,30196
2014-02-12,78000,77100,78200,77500,59877
2014-02-13,77300,77300,78400,77300,44052
2014-02-14,77500,76000,77700,76500,132783
2014-02-17,76300,75500,77000,76200,175143
2014-02-18,76200,75800,76800,76400,56185
2014-02-19,76300,76000,76600,76500,67067
2014-02-20,76200,75600,76500,75900,94852
2014-02-21,75700,75500,76200,75600,64058
2014-02-24,75700,71800,75800,71800,160674
2014-02-25,72200,71900,72900,72900,94678
2014-02-26,73100,71800,73400,71800,72668
2014-02-27,72000,70900,72100,71000,70227
2014-02-28,71400,69600,71400,70000,104304
2014-03-03,70000,69200,70500,69400,83840
2014-03-04,69400,68400,70300,68700,108343
2014-03-05,69200,69000,70200,69400,123999
2014-03-06,70000,69300,71100,69400,221204
2014-03-07,69800,68900,69800,69400,196192
2014-03-10,69500,69300,70400,69400,135674
2014-03-11,69700,69100,70400,69400,145881
2014-03-12,69400,69000,70400,70100,119795
2014-03-13,70200,69500,70600,69900,105165
2014-03-14,69700,69500,77200,76500,532914
2014-03-17,76000,74800,77500,76000,194542
2014-03-18,76200,75000,76600,76100,123075
2014-03-19,76600,75400,80200,79800,275170
2014-03-20,79000,77600,80200,79800,128668
2014-03-21,80500,78600,80500,78900,101451
2014-03-24,78500,76800,79400,78800,86580
2014-03-25,78800,77100,79100,77100,49555
2014-03-26,77500,76900,78900,77800,47627
2014-03-27,77600,76100,78800,77400,69946
2014-03-28,77400,75500,77400,77300,72448
2014-03-31,77100,76900,78400,78200,94802
2014-04-01,79100,77500,81700,77900,179358
2014-04-02,77700,77300,79300,78700,74564
2014-04-03,78800,76800,79500,76900,57328
2014-04-04,76100,75200,77800,75800,114976
2014-04-07,76000,75000,77400,75100,67020
2014-04-08,74500,73800,74800,74100,115341
2014-04-09,74400,74000,74800,74400,56407
2014-04-10,75000,73300,75000,73500,93163
2014-04-11,72900,72200,73400,73200,64926
2014-04-14,72900,72600,74000,74000,37025
2014-04-15,74400,74000,74700,74200,20437
2014-04-16,74500,73300,74800,74100,32679
2014-04-17,74200,73600,74800,74400,44524
2014-04-18,74400,73800,75200,75100,36248
2014-04-21,75300,74600,75500,75000,27219
2014-04-22,75000,73900,75000,74200,62553
2014-04-23,74200,73300,74400,73300,61139
2014-04-24,73300,71300,73700,72000,65483
2014-04-25,72500,71700,73400,72300,76046
2014-04-28,72400,72400,76700,74100,191976
2014-04-29,74400,73900,75600,74900,83148
2014-04-30,75500,74100,75800,74900,74965
2014-05-02,74800,74800,75700,74800,76566
2014-05-07,74700,72800,75100,74000,78998
2014-05-08,73900,72900,74200,73200,31290
2014-05-09,73200,72900,74700,72900,26575
2014-05-12,73900,72200,74000,72600,69086
2014-05-13,72700,71500,73400,72800,112750
2014-05-14,72900,71700,73300,72800,86351
2014-05-15,73000,72300,73400,73000,59422
2014-05-16,72700,71800,73100,72500,87198
2014-05-19,72800,71500,73000,71800,46998
2014-05-20,72200,70400,72200,71700,57662
2014-05-21,71400,71400,72600,71600,30891
2014-05-22,71700,71600,73400,73200,59556
2014-05-23,75400,75300,79500,78100,467873
2014-05-26,78100,78100,78100,78100,0
2014-05-27,89800,89800,89800,89800,13630
2014-05-28,103200,103200,103200,103200,1776649
2014-05-29,104900,101500,107600,103200,3642174
2014-05-30,103000,97600,104300,97800,1163090
2014-06-02,98300,93600,99500,94000,824386
2014-06-03,93100,93100,97200,96400,801473
2014-06-05,95500,91800,96100,92100,466795
2014-06-09,93200,92300,96400,92700,399171
2014-06-10,93100,92400,94900,92800,301846
2014-06-11,92900,90700,92900,91500,329907
2014-06-12,91500,91500,95200,94500,404762
2014-06-13,94500,92400,95200,94100,241693
2014-06-16,94000,92400,94400,93400,179171
2014-06-17,93900,93800,96300,95700,315157
2014-06-18,96200,94200,96500,94300,218652
2014-06-19,95100,94200,95700,94700,149061
2014-06-20,95000,94800,107000,101300,1307123
2014-06-23,103800,103200,116400,116400,1614383
2014-06-24,117200,110800,119600,114200,1467963
2014-06-25,115700,114300,121800,116400,1351549
2014-06-26,117000,115500,121100,118300,922581
2014-06-27,118500,115400,120700,115800,548713
2014-06-30,114000,113800,117800,117000,348072
2014-07-01,117000,116100,122400,120500,571991
2014-07-02,121600,118500,125700,119700,650895
2014-07-03,120100,117500,122300,121000,366688
2014-07-04,120400,117000,121400,117500,443659
2014-07-07,116000,113600,116800,116000,439474
2014-07-08,115200,113700,115700,114100,244600
2014-07-09,113000,111000,117300,113400,464490
2014-07-10,117000,116700,120700,119900,636196
2014-07-11,121600,117800,121800,117800,340036
2014-07-14,117800,116200,118800,118300,183828
2014-07-15,119800,119000,124900,122500,563516
2014-07-16,123200,119200,125200,119400,352028
2014-07-17,120600,118100,124500,123500,350654
2014-07-18,122600,121200,125000,123700,316759
2014-07-21,123500,122200,129800,129000,537921
2014-07-22,129800,129000,134200,131000,744031
2014-07-23,131600,128500,133100,129000,336175
2014-07-24,131100,130500,133500,132400,396761
2014-07-25,133900,131000,135300,131700,243067
2014-07-28,131800,126200,132200,127700,303032
2014-07-29,126000,121100,127700,121100,448278
2014-07-30,124000,123900,134000,130800,956804
2014-07-31,132500,129100,134000,131700,485603
2014-08-01,130500,129200,148500,141600,978736
2014-08-04,142500,138500,146400,143400,602367
2014-08-05,145500,143500,150000,145700,792383
2014-08-06,145200,143300,151100,148400,555241
2014-08-07,149000,148700,170500,156000,1900996
2014-08-08,156500,155200,163400,159300,826891
2014-08-11,161000,152700,162300,152700,592292
2014-08-12,151100,149900,165100,165100,841667
2014-08-13,163800,162600,179400,171300,1450700
2014-08-14,173000,170600,175300,171500,467400
2014-08-18,174100,169600,174700,169700,452230
2014-08-19,168500,168500,178500,177100,650435
2014-08-20,178800,175300,183100,175300,635595
2014-08-21,176000,169000,176500,169100,606410
2014-08-22,170500,163900,173400,169100,645668
2014-08-25,171100,165000,174300,165000,476646
2014-08-26,166600,160600,167200,163200,643295
2014-08-27,163300,150500,167500,153600,1201096
2014-08-28,156000,155900,171400,171400,1543296
2014-08-29,169000,165100,172800,165100,775522
2014-09-01,162000,161500,168500,163000,444597
2014-09-02,169000,166300,172400,166800,576959
2014-09-03,170000,167700,172900,169900,468633
