일자,시가,저가,고가,종가,거래량
2013-01-02,1533000,1527000,1576000,1576000,229274
2013-01-03,1582000,1543000,1584000,1543000,284927
2013-01-04,1540000,1510000,1542000,1525000,260120
2013-01-07,1515000,1500000,1528000,1520000,252436
2013-01-08,1513000,1498000,1517000,1500000,276757
2013-01-09,1500000,1491000,1513000,1500000,253720
2013-01-10,1515000,1500000,1534000,1530000,293482
2013-01-11,1548000,1507000,1548000,1533000,238982
2013-01-14,1539000,1528000,1552000,1552000,160602
2013-01-15,1560000,1512000,1560000,1512000,214769
2013-01-16,1514000,1483000,1526000,1492000,325058
2013-01-17,1502000,1450000,1502000,1469000,404999
2013-01-18,1480000,1455000,1487000,1480000,250601
2013-01-21,1464000,1448000,1475000,1454000,290784
2013-01-22,1445000,1445000,1487000,1480000,239166
2013-01-23,1500000,1473000,1502000,1473000,186749
2013-01-24,1468000,1441000,1469000,1453000,320146
2013-01-25,1460000,1405000,1461000,1417000,436418
2013-01-28,1396000,1371000,1401000,1372000,618708
2013-01-29,1390000,1380000,1418000,1409000,432719
2013-01-30,1426000,1412000,1440000,1440000,323848
2013-01-31,1430000,1422000,1448000,1448000,321056
2013-02-01,1460000,1422000,1460000,1441000,231524
2013-02-04,1450000,1417000,1453000,1437000,257238
2013-02-05,1415000,1414000,1443000,1435000,227762
2013-02-06,1440000,1427000,1443000,1427000,137943
2013-02-07,1439000,1420000,1439000,1420000,194422
2013-02-08,1418000,1415000,1470000,1462000,268477
2013-02-12,1484000,1459000,1484000,1468000,168395
2013-02-13,1474000,1456000,1489000,1487000,184181
2013-02-14,1490000,1477000,1494000,1490000,150682
2013-02-15,1490000,1477000,1498000,1498000,151999
2013-02-18,1490000,1481000,1501000,1490000,142199
2013-02-19,1480000,1479000,1499000,1492000,122645
2013-02-20,1502000,1497000,1545000,1545000,360787
2013-02-21,1540000,1535000,1558000,1550000,262473
2013-02-22,1530000,1520000,1548000,1530000,277053
2013-02-25,1549000,1530000,1549000,1530000,177951
2013-02-26,1515000,1508000,1538000,1527000,184895
2013-02-27,1559000,1519000,1559000,1527000,178764
2013-02-28,1530000,1530000,1554000,1544000,255684
2013-03-04,1563000,1530000,1563000,1539000,265537
2013-03-05,1556000,1548000,1564000,1550000,185892
2013-03-06,1572000,1547000,1575000,1560000,202973
2013-03-07,1548000,1512000,1550000,1520000,269654
2013-03-08,1515000,1489000,1517000,1499000,378820
2013-03-11,1493000,1485000,1512000,1508000,274965
2013-03-12,1504000,1490000,1512000,1494000,174931
2013-03-13,1506000,1501000,1529000,1527000,226071
2013-03-14,1528000,1499000,1534000,1520000,251156
2013-03-15,1529000,1480000,1529000,1480000,732367
2013-03-18,1460000,1434000,1460000,1445000,528791
2013-03-19,1450000,1448000,1492000,1475000,279542
2013-03-20,1460000,1456000,1485000,1460000,270315
2013-03-21,1461000,1456000,1474000,1457000,235371
2013-03-22,1458000,1452000,1468000,1455000,213742
2013-03-25,1480000,1470000,1495000,1495000,205441
2013-03-26,1495000,1491000,1522000,1509000,336600
2013-03-27,1515000,1487000,1516000,1504000,257628
2013-03-28,1503000,1497000,1510000,1510000,159792
2013-03-29,1524000,1517000,1532000,1527000,190674
2013-04-01,1535000,1512000,1535000,1512000,105910
2013-04-02,1510000,1510000,1532000,1525000,171497
2013-04-03,1526000,1509000,1528000,1521000,217654
2013-04-04,1517000,1499000,1519000,1506000,214009
2013-04-05,1505000,1493000,1516000,1505000,299547
2013-04-08,1505000,1497000,1531000,1520000,259190
2013-04-09,1527000,1510000,1530000,1528000,184880
2013-04-10,1540000,1513000,1540000,1521000,235594
2013-04-11,1521000,1518000,1540000,1540000,225830
2013-04-12,1540000,1513000,1550000,1517000,214881
2013-04-15,1503000,1503000,1535000,1523000,215346
2013-04-16,1505000,1501000,1532000,1528000,371037
2013-04-17,1566000,1514000,1566000,1518000,209822
2013-04-18,1520000,1481000,1522000,1483000,267168
2013-04-19,1465000,1455000,1492000,1475000,314080
2013-04-22,1490000,1465000,1503000,1503000,186717
2013-04-23,1500000,1474000,1503000,1483000,177297
2013-04-24,1485000,1474000,1494000,1486000,201731
2013-04-25,1470000,1470000,1494000,1494000,209278
2013-04-26,1495000,1472000,1497000,1486000,233032
2013-04-29,1491000,1475000,1492000,1481000,170003
2013-04-30,1490000,1488000,1530000,1520000,374100
2013-05-02,1526000,1517000,1532000,1528000,200979
2013-05-03,1535000,1521000,1537000,1535000,131181
2013-05-06,1540000,1512000,1540000,1514000,173086
2013-05-07,1508000,1491000,1508000,1493000,228690
2013-05-08,1493000,1479000,1498000,1488000,298439
2013-05-09,1490000,1489000,1520000,1515000,216123
2013-05-10,1514000,1476000,1514000,1476000,235897
2013-05-13,1471000,1462000,1480000,1477000,175002
2013-05-14,1487000,1483000,1500000,1500000,180053
2013-05-15,1485000,1484000,1500000,1500000,211896
2013-05-16,1501000,1500000,1514000,1508000,293151
2013-05-20,1502000,1496000,1512000,1497000,245777
2013-05-21,1510000,1485000,1510000,1492000,232008
2013-05-22,1504000,1491000,1510000,1509000,198462
2013-05-23,1492000,1484000,1502000,1484000,239883
2013-05-24,1487000,1472000,1494000,1486000,203812
2013-05-27,1490000,1487000,1499000,1489000,122928
2013-05-28,1481000,1481000,1496000,1484000,231761
2013-05-29,1484000,1483000,1523000,1512000,295211
2013-05-30,1518000,1512000,1549000,1544000,455560
2013-05-31,1546000,1537000,1559000,1538000,360501
2013-06-03,1536000,1528000,1559000,1532000,206189
2013-06-04,1533000,1521000,1542000,1540000,169932
2013-06-05,1549000,1521000,1553000,1521000,271813
2013-06-07,1475000,1424000,1485000,1427000,1085816
2013-06-10,1420000,1414000,1443000,1425000,533554
2013-06-11,1411000,1378000,1419000,1389000,692260
2013-06-12,1378000,1362000,1403000,1385000,457753
2013-06-13,1380000,1357000,1397000,1357000,670197
2013-06-14,1365000,1357000,1377000,1369000,351167
2013-06-17,1370000,1365000,1378000,1366000,235169
2013-06-18,1368000,1360000,1387000,1387000,220861
2013-06-19,1382000,1364000,1385000,1369000,205405
2013-06-20,1343000,1326000,1348000,1329000,356359
2013-06-21,1294000,1290000,1333000,1325000,553556
2013-06-24,1350000,1313000,1350000,1313000,316958
2013-06-25,1301000,1288000,1318000,1297000,415499
2013-06-26,1301000,1245000,1305000,1261000,635024
2013-06-27,1295000,1286000,1344000,1339000,515123
2013-06-28,1350000,1329000,1350000,1342000,419225
2013-07-01,1334000,1322000,1346000,1326000,256519
2013-07-02,1340000,1330000,1352000,1335000,204289
2013-07-03,1334000,1295000,1339000,1301000,256441
2013-07-04,1302000,1296000,1317000,1317000,180853
2013-07-05,1286000,1260000,1315000,1267000,607656
2013-07-08,1250000,1209000,1258000,1226000,529603
2013-07-09,1230000,1229000,1250000,1237000,393899
2013-07-10,1245000,1237000,1252000,1248000,346113
2013-07-11,1251000,1251000,1312000,1312000,415767
2013-07-12,1320000,1301000,1324000,1312000,227826
2013-07-15,1315000,1285000,1319000,1313000,192592
2013-07-16,1318000,1290000,1321000,1298000,186019
2013-07-17,1301000,1286000,1330000,1320000,246046
2013-07-18,1325000,1292000,1325000,1292000,314084
2013-07-19,1288000,1264000,1295000,1273000,325426
2013-07-22,1280000,1265000,1289000,1273000,207023
2013-07-23,1273000,1272000,1307000,1307000,238978
2013-07-24,1307000,1295000,1317000,1315000,175453
2013-07-25,1317000,1308000,1322000,1315000,169913
2013-07-26,1314000,1299000,1319000,1303000,272391
2013-07-29,1291000,1279000,1300000,1283000,236437
2013-07-30,1277000,1277000,1295000,1290000,188507
2013-07-31,1280000,1279000,1290000,1280000,254710
2013-08-01,1285000,1274000,1288000,1280000,181178
2013-08-02,1293000,1282000,1300000,1286000,224827
2013-08-05,1283000,1274000,1283000,1274000,161597
2013-08-06,1245000,1245000,1272000,1254000,289874
2013-08-07,1237000,1222000,1240000,1222000,315562
2013-08-08,1213000,1213000,1235000,1217000,358216
2013-08-09,1229000,1220000,1241000,1230000,241604
2013-08-12,1230000,1225000,1248000,1232000,202812
2013-08-13,1244000,1242000,1290000,1290000,418589
2013-08-14,1289000,1285000,1300000,1300000,260102
2013-08-16,1286000,1282000,1301000,1295000,228332
2013-08-19,1286000,1280000,1296000,1286000,129997
2013-08-20,1296000,1269000,1305000,1269000,284619
2013-08-21,1265000,1256000,1282000,1256000,246921
2013-08-22,1250000,1245000,1267000,1255000,239697
2013-08-23,1280000,1271000,1300000,1295000,344068
2013-08-26,1301000,1296000,1305000,1300000,230393
2013-08-27,1307000,1295000,1309000,1304000,182616
2013-08-28,1284000,1284000,1310000,1309000,189851
2013-08-29,1317000,1314000,1348000,1344000,326300
2013-08-30,1360000,1351000,1368000,1368000,342716
2013-09-02,1368000,1350000,1371000,1351000,201632
2013-09-03,1364000,1326000,1364000,1337000,235970
2013-09-04,1330000,1321000,1354000,1340000,218401
2013-09-05,1370000,1358000,1371000,1365000,302002
2013-09-06,1370000,1358000,1375000,1369000,238759
2013-09-09,1371000,1363000,1375000,1373000,185831
2013-09-10,1369000,1368000,1396000,1396000,294353
2013-09-11,1398000,1385000,1402000,1402000,267060
2013-09-12,1405000,1395000,1424000,1410000,436108
2013-09-13,1409000,1396000,1410000,1406000,245630
2013-09-16,1423000,1411000,1425000,1425000,234214
2013-09-17,1420000,1381000,1420000,1386000,343627
2013-09-23,1365000,1353000,1381000,1360000,487258
2013-09-24,1342000,1338000,1379000,1373000,302778
2013-09-25,1367000,1351000,1374000,1364000,223529
2013-09-26,1364000,1356000,1372000,1372000,207494
2013-09-27,1375000,1363000,1377000,1366000,232265
2013-09-30,1366000,1360000,1382000,1367000,233018
2013-10-01,1380000,1360000,1383000,1382000,195463
2013-10-02,1398000,1390000,1425000,1418000,351727
2013-10-04,1438000,1414000,1442000,1418000,315074
2013-10-07,1437000,1425000,1437000,1436000,204565
2013-10-08,1417000,1417000,1433000,1430000,210920
2013-10-10,1421000,1421000,1432000,1430000,276380
2013-10-11,1440000,1436000,1447000,1443000,225083
2013-10-14,1448000,1438000,1449000,1438000,147474
2013-10-15,1450000,1445000,1457000,1457000,200473
2013-10-16,1469000,1445000,1469000,1450000,160212
2013-10-17,1460000,1454000,1468000,1463000,181987
2013-10-18,1472000,1463000,1475000,1472000,157043
2013-10-21,1475000,1454000,1489000,1464000,142521
2013-10-22,1460000,1434000,1460000,1455000,247065
2013-10-23,1464000,1436000,1464000,1442000,171969
2013-10-24,1431000,1429000,1449000,1449000,178313
2013-10-25,1450000,1433000,1452000,1449000,134706
2013-10-28,1465000,1458000,1485000,1482000,226154
2013-10-29,1490000,1478000,1490000,1490000,206698
2013-10-30,1485000,1484000,1500000,1500000,211768
2013-10-31,1498000,1465000,1502000,1465000,252941
2013-11-01,1490000,1468000,1500000,1500000,227154
2013-11-04,1492000,1489000,1502000,1499000,217756
2013-11-05,1502000,1472000,1502000,1485000,160186
2013-11-06,1498000,1449000,1498000,1451000,244368
2013-11-07,1451000,1425000,1454000,1437000,260136
2013-11-08,1411000,1407000,1428000,1410000,273627
2013-11-11,1425000,1409000,1434000,1428000,171277
2013-11-12,1440000,1436000,1466000,1456000,195698
2013-11-13,1445000,1419000,1449000,1419000,199904
2013-11-14,1455000,1424000,1455000,1424000,202643
2013-11-15,1434000,1432000,1462000,1462000,166785
2013-11-18,1470000,1465000,1476000,1474000,127736
2013-11-19,1483000,1477000,1489000,1489000,163671
2013-11-20,1473000,1464000,1487000,1470000,163563
2013-11-21,1472000,1432000,1472000,1440000,180396
2013-11-22,1441000,1431000,1456000,1450000,171492
2013-11-25,1451000,1451000,1472000,1465000,132306
2013-11-26,1458000,1455000,1479000,1479000,171725
2013-11-27,1467000,1460000,1476000,1470000,187034
2013-11-28,1480000,1479000,1494000,1494000,212898
2013-11-29,1499000,1485000,1499000,1494000,135044
2013-12-02,1500000,1467000,1503000,1467000,149756
2013-12-03,1464000,1457000,1478000,1461000,155972
2013-12-04,1450000,1431000,1453000,1432000,216880
2013-12-05,1433000,1422000,1446000,1440000,209593
2013-12-06,1454000,1428000,1454000,1428000,182949
2013-12-09,1440000,1440000,1454000,1454000,139938
2013-12-10,1441000,1431000,1451000,1440000,155112
2013-12-11,1426000,1416000,1444000,1420000,212583
2013-12-12,1396000,1396000,1410000,1410000,299241
2013-12-13,1410000,1390000,1411000,1390000,201065
2013-12-16,1391000,1383000,1404000,1400000,179088
2013-12-17,1417000,1393000,1417000,1395000,155248
2013-12-18,1405000,1394000,1410000,1401000,217984
2013-12-19,1418000,1418000,1434000,1427000,211048
2013-12-20,1413000,1413000,1427000,1427000,168148
2013-12-23,1437000,1429000,1438000,1433000,212784
2013-12-24,1430000,1415000,1432000,1415000,219607
2013-12-26,1408000,1401000,1415000,1408000,246156
2013-12-27,1410000,1395000,1411000,1396000,210200
2013-12-30,1396000,1360000,1397000,1372000,338162
2014-01-02,1348000,1302000,1355000,1309000,620500
2014-01-03,1300000,1287000,1311000,1296000,529932
2014-01-06,1303000,1296000,1320000,1307000,394716
2014-01-07,1300000,1295000,1318000,1304000,395264
2014-01-08,1300000,1287000,1304000,1291000,409493
2014-01-09,1307000,1275000,1307000,1275000,425019
2014-01-10,1275000,1272000,1286000,1272000,363783
2014-01-13,1283000,1273000,1297000,1295000,328987
2014-01-14,1297000,1290000,1330000,1313000,294333
2014-01-15,1330000,1298000,1331000,1299000,234949
2014-01-16,1300000,1293000,1310000,1301000,195049
2014-01-17,1301000,1292000,1315000,1292000,255485
2014-01-20,1305000,1296000,1319000,1316000,173656
2014-01-21,1315000,1311000,1327000,1324000,151246
2014-01-22,1314000,1312000,1328000,1328000,216530
2014-01-23,1316000,1299000,1322000,1299000,206739
2014-01-24,1300000,1291000,1318000,1307000,280035
2014-01-27,1293000,1285000,1304000,1292000,266926
2014-01-28,1273000,1273000,1293000,1283000,234027
2014-01-29,1280000,1277000,1288000,1280000,383637
2014-02-03,1286000,1271000,1288000,1272000,325184
2014-02-04,1263000,1249000,1263000,1249000,320660
2014-02-05,1245000,1234000,1255000,1237000,298533
2014-02-06,1245000,1240000,1267000,1259000,303949
2014-02-07,1275000,1263000,1279000,1275000,198872
2014-02-10,1271000,1262000,1281000,1277000,155993
2014-02-11,1281000,1272000,1315000,1311000,253680
2014-02-12,1331000,1305000,1331000,1307000,200548
2014-02-13,1300000,1290000,1320000,1298000,116769
2014-02-14,1296000,1292000,1308000,1301000,124415
2014-02-17,1292000,1280000,1306000,1285000,187733
2014-02-18,1285000,1282000,1299000,1295000,118213
2014-02-19,1300000,1280000,1300000,1290000,123595
2014-02-20,1290000,1281000,1296000,1286000,190866
2014-02-21,1333000,1300000,1333000,1330000,286924
2014-02-24,1334000,1321000,1345000,1328000,148501
2014-02-25,1332000,1326000,1340000,1334000,175706
2014-02-26,1337000,1325000,1343000,1342000,258361
2014-02-27,1335000,1330000,1342000,1341000,157827
2014-02-28,1337000,1332000,1349000,1349000,284647
2014-03-03,1336000,1321000,1340000,1325000,242083
2014-03-04,1320000,1315000,1329000,1315000,158003
2014-03-05,1335000,1330000,1341000,1330000,149830
2014-03-06,1329000,1310000,1329000,1326000,172335
2014-03-07,1339000,1329000,1339000,1339000,150973
2014-03-10,1320000,1317000,1330000,1320000,173152
2014-03-11,1320000,1309000,1327000,1322000,181596
2014-03-12,1320000,1293000,1320000,1294000,251585
2014-03-13,1294000,1290000,1313000,1290000,235004
2014-03-14,1270000,1270000,1285000,1275000,216736
2014-03-17,1275000,1258000,1276000,1266000,176400
2014-03-18,1270000,1266000,1283000,1278000,220912
2014-03-19,1280000,1268000,1285000,1269000,152771
2014-03-20,1270000,1262000,1272000,1262000,118788
2014-03-21,1269000,1262000,1273000,1273000,166426
2014-03-24,1260000,1259000,1274000,1273000,141478
2014-03-25,1269000,1241000,1270000,1247000,272500
2014-03-26,1269000,1248000,1290000,1285000,348894
2014-03-27,1290000,1285000,1333000,1333000,417557
2014-03-28,1320000,1320000,1338000,1335000,212974
2014-03-31,1345000,1322000,1345000,1343000,265197
2014-04-01,1345000,1331000,1345000,1339000,221620
2014-04-02,1350000,1343000,1357000,1357000,262001
2014-04-03,1351000,1351000,1395000,1390000,381976
2014-04-04,1377000,1377000,1397000,1380000,368007
2014-04-07,1397000,1374000,1397000,1397000,215235
2014-04-08,1387000,1375000,1399000,1394000,212164
2014-04-09,1394000,1364000,1395000,1371000,321232
2014-04-10,1369000,1360000,1380000,1380000,199984
2014-04-11,1362000,1359000,1368000,1365000,213187
2014-04-14,1365000,1365000,1386000,1370000,211720
2014-04-15,1386000,1369000,1387000,1370000,219396
2014-04-16,1370000,1363000,1392000,1380000,186171
2014-04-17,1376000,1366000,1380000,1370000,144833
2014-04-18,1370000,1370000,1379000,1378000,190367
2014-04-21,1379000,1375000,1386000,1380000,65985
2014-04-22,1374000,1371000,1384000,1375000,121686
2014-04-23,1394000,1382000,1395000,1389000,190015
2014-04-24,1409000,1399000,1409000,1407000,210924
2014-04-25,1420000,1398000,1428000,1399000,305396
2014-04-28,1404000,1382000,1406000,1388000,188629
2014-04-29,1389000,1351000,1395000,1360000,218184
2014-04-30,1380000,1326000,1381000,1343000,300946
2014-05-02,1354000,1344000,1359000,1346000,298867
2014-05-07,1350000,1340000,1356000,1344000,283794
2014-05-08,1355000,1344000,1355000,1350000,325638
2014-05-09,1356000,1326000,1358000,1335000,263141
2014-05-12,1336000,1332000,1395000,1388000,318896
2014-05-13,1388000,1388000,1425000,1400000,242148
2014-05-14,1409000,1401000,1415000,1415000,222075
2014-05-15,1414000,1403000,1419000,1410000,136134
2014-05-16,1400000,1399000,1437000,1428000,317130
2014-05-19,1428000,1408000,1450000,1448000,385621
2014-05-20,1445000,1435000,1454000,1451000,320146
2014-05-21,1435000,1435000,1450000,1441000,216850
2014-05-22,1441000,1426000,1448000,1426000,190800
2014-05-23,1405000,1405000,1428000,1428000,170233
2014-05-26,1420000,1415000,1432000,1422000,74712
2014-05-27,1417000,1403000,1423000,1407000,94968
2014-05-28,1419000,1409000,1435000,1433000,184019
2014-05-29,1450000,1440000,1465000,1460000,250430
2014-05-30,1470000,1443000,1482000,1443000,316621
2014-06-02,1443000,1439000,1458000,1455000,148789
2014-06-03,1484000,1465000,1495000,1470000,344685
2014-06-05,1466000,1450000,1480000,1457000,270141
2014-06-09,1470000,1402000,1473000,1409000,445392
2014-06-10,1421000,1405000,1438000,1436000,184282
2014-06-11,1412000,1412000,1430000,1422000,172515
2014-06-12,1430000,1401000,1430000,1413000,258863
2014-06-13,1402000,1363000,1404000,1367000,371781
2014-06-16,1380000,1362000,1382000,1374000,306399
2014-06-17,1360000,1351000,1378000,1374000,269535
2014-06-18,1373000,1356000,1376000,1358000,220887
2014-06-19,1345000,1320000,1349000,1323000,446794
2014-06-20,1330000,1296000,1330000,1301000,478053
2014-06-23,1321000,1316000,1332000,1322000,249765
2014-06-24,1340000,1332000,1354000,1345000,237817
2014-06-25,1330000,1318000,1333000,1320000,204638
2014-06-26,1309000,1307000,1343000,1325000,255306
2014-06-27,1307000,1306000,1319000,1311000,179061
2014-06-30,1310000,1309000,1324000,1322000,177621
2014-07-01,1308000,1301000,1314000,1310000,174508
2014-07-02,1317000,1306000,1331000,1330000,222785
2014-07-03,1336000,1316000,1336000,1318000,170861
2014-07-04,1322000,1303000,1326000,1306000,119577
2014-07-07,1291000,1290000,1301000,1292000,188741
2014-07-08,1294000,1287000,1319000,1295000,241464
2014-07-09,1287000,1283000,1308000,1308000,236598
2014-07-10,1308000,1302000,1311000,1306000,179204
2014-07-11,1300000,1282000,1302000,1284000,215592
2014-07-14,1298000,1286000,1300000,1286000,141643
2014-07-15,1300000,1297000,1323000,1320000,239521
2014-07-16,1313000,1311000,1323000,1321000,182284
2014-07-17,1326000,1320000,1335000,1330000,218454
2014-07-18,1315000,1314000,1343000,1343000,194853
2014-07-21,1349000,1343000,1360000,1353000,161199
2014-07-22,1348000,1345000,1358000,1348000,126019
2014-07-23,1354000,1335000,1357000,1338000,128346
2014-07-24,1350000,1331000,1358000,1355000,161034
2014-07-25,1346000,1335000,1355000,1355000,175803
2014-07-28,1355000,1344000,1367000,1358000,179851
2014-07-29,1355000,1353000,1388000,1386000,256186
2014-07-30,1388000,1374000,1408000,1395000,347189
2014-07-31,1374000,1336000,1385000,1343000,487027
2014-08-01,1305000,1292000,1328000,1292000,564621
2014-08-04,1300000,1291000,1317000,1317000,241335
2014-08-05,1301000,1300000,1321000,1316000,172529
2014-08-06,1306000,1295000,1316000,1300000,216602
2014-08-07,1300000,1285000,1302000,1290000,190545
2014-08-08,1284000,1248000,1285000,1250000,412429
2014-08-11,1275000,1257000,1282000,1270000,372385
2014-08-12,1270000,1262000,1294000,1266000,179914
2014-08-13,1275000,1248000,1275000,1264000,256900
2014-08-14,1274000,1254000,1282000,1261000,208947
2014-08-18,1279000,1250000,1280000,1250000,210379
2014-08-19,1264000,1253000,1273000,1254000,200888
2014-08-20,1264000,1251000,1271000,1261000,188612
2014-08-21,1255000,1231000,1261000,1235000,342108
2014-08-22,1245000,1235000,1247000,1247000,168153
2014-08-25,1231000,1221000,1231000,1228000,231544
2014-08-26,1235000,1221000,1235000,1222000,214389
2014-08-27,1223000,1222000,1237000,1230000,243420
2014-08-28,1258000,1236000,1258000,1242000,206237
2014-08-29,1238000,1228000,1238000,1234000,291165
2014-09-01,1236000,1224000,1237000,1226000,113281
2014-09-02,1221000,1194000,1225000,1194000,317992
2014-09-03,1200000,1180000,1200000,1189000,424775
2014-09-04,1210000,1202000,1216000,1210000,241999
2014-09-05,1215000,1195000,1216000,1201000,215408
2014-09-11,1200000,1192000,1207000,1192000,466184
2014-09-12,1200000,1200000,1208000,1201000,217447
2014-09-15,1207000,1196000,1208000,1200000,143230
2014-09-16,1208000,1201000,1215000,1206000,141848
2014-09-17,1207000,1207000,1226000,1226000,150915
2014-09-18,1230000,1204000,1230000,1210000,189535
2014-09-19,1223000,1206000,1223000,1210000,268701
2014-09-22,1204000,1180000,1204000,1188000,320442
2014-09-23,1178000,1161000,1185000,1161000,390828
2014-09-24,1152000,1141000,1161000,1150000,315784
2014-09-25,1162000,1147000,1166000,1156000,388290
2014-09-26,1152000,1148000,1185000,1185000,248271
2014-09-29,1193000,1170000,1200000,1195000,188020
2014-09-30,1185000,1165000,1188000,1184000,247586
2014-10-01,1174000,1156000,1183000,1156000,238596
2014-10-02,1165000,1141000,1165000,1141000,254655
2014-10-06,1145000,1138000,1156000,1151000,425058
2014-10-07,1162000,1162000,1186000,1162000,202983
2014-10-08,1142000,1124000,1151000,1130000,294411
2014-10-10,1100000,1099000,1114000,1105000,436749
