bii.di,che.de,elb.di,kne.di,age,wgt,hgt,sex
26,17.7,13.1,18.8,21,65.6,174,1
28.5,16.9,14,20.6,23,71.8,175.3,1
28.2,20.9,13.9,19.7,28,80.7,193.5,1
29.9,18.4,13.9,20.9,23,72.6,186.5,1
29.9,21.5,15.2,20.7,22,78.8,187.2,1
27,19.6,14,18.8,21,74.8,181.5,1
30,21.9,16.1,20.8,26,86.4,184,1
29.8,21.8,15.1,21,27,78.4,184.5,1
26.5,15.5,14.1,18.9,23,62,175,1
28,22.5,15.6,21.1,21,81.6,184,1
29,20.1,13.4,19.4,23,76.6,180,1
29,20.5,15,20.9,22,83.6,177.8,1
29.6,20.8,16.1,21.5,20,90,192,1
27.5,21.7,13.3,18.8,26,74.6,176,1
26.8,21.9,14.9,17.8,23,71,174,1
27,21.7,13.7,20.7,22,79.6,184,1
30,21,15.6,21.2,30,93.8,192.7,1
26.5,19.3,14.8,19.7,22,70,171.5,1
28.6,22.2,14.9,20.8,29,72.4,173,1
29.3,20.2,15.4,20.7,22,85.9,176,1
27.5,21.3,13.1,19.2,22,78.8,176,1
28,20,15,20.4,20,77.8,180.5,1
26.4,18,14.6,18.6,22,66.2,172.7,1
29.9,21.8,14.3,19.8,24,86.4,176,1
27.8,18.3,15.2,19.4,26,81.8,173.5,1
30.1,20.2,16.4,22.2,24,89.6,178,1
31.8,20.2,14.6,20.2,21,82.8,180.3,1
28.3,19.2,14.6,20.8,24,76.4,180.3,1
25.5,17.6,13,18.9,23,63.2,164.5,1
27.2,18.1,13.3,18.6,19,60.9,173,1
30.3,19.4,14.9,19.1,23,74.8,183.5,1
23.6,22.9,14.3,18.2,25,70,175.5,1
31,19.2,15.2,21.2,23,72.4,188,1
32,23.6,15.5,20.9,23,84.1,189.2,1
25.1,20.8,13.6,18.8,23,69.1,172.8,1
24.5,17.7,13.3,18.6,20,59.5,170,1
27.8,19,14.5,18.5,22,67.2,182,1
27.2,18.5,13.4,19,24,61.3,170,1
27.5,18.7,13.6,19,22,68.6,177.8,1
27.5,18.2,16.2,21,24,80.1,184.2,1
29.4,23.7,14.6,19.8,21,87.8,186.7,1
27.1,21.6,14.1,19.7,23,84.7,171.4,1
27.1,18.5,14.6,19.5,24,73.4,172.7,1
26.1,19.4,14.3,20,35,72.1,175.3,1
30.8,19.4,14.8,20.2,29,82.6,180.3,1
27.8,20.6,15.9,22.4,25,88.7,182.9,1
26.1,20.4,15.1,20,23,84.1,188,1
33.1,21.6,15.6,20.7,20,94.1,177.2,1
24.9,19.7,14.2,18,25,74.9,172.1,1
24.4,18,14.2,17.3,29,59.1,167,1
28.3,20.2,15,18.4,23,75.6,169.5,1
26.1,20.6,15.1,19.8,23,86.2,174,1
27.8,19.2,15.4,20.6,36,75.3,172.7,1
28,20.9,14.8,19.4,25,87.1,182.2,1
26.6,17.3,12.8,17,24,55.2,164.1,1
25.2,17,13.2,18.8,20,57,163,1
28.6,19.1,13.4,18.2,52,61.4,171.5,1
29,22.5,15.6,19.8,50,76.8,184.2,1
30.4,23.2,15.5,21.5,46,86.8,174,1
29.3,19.6,13.8,19.7,51,72.2,174,1
28.6,20.8,14.8,20.7,28,71.6,177,1
32.4,20.3,15.6,20.8,48,84.8,186,1
26,19.1,14.3,19.5,35,68.2,167,1
27.1,17.5,14.1,20.2,23,66.1,171.8,1
29.5,18.4,14,19.4,23,72,182,1
29.2,20,14.1,20.4,62,64.6,167,1
28.3,18.3,13.5,18.9,21,74.8,177.8,1
28.8,19.7,12.4,18.5,26,70,164.5,1
33.2,23.9,15.8,18.6,33,101.6,192,1
26.6,19.5,13.1,19,36,63.2,175.5,1
28.4,22.5,14.9,21,41,79.1,171.2,1
28.5,21.6,13.3,18.9,40,78.9,181.6,1
27.5,18.9,12.6,19.2,27,67.7,167.4,1
24.6,18.3,14,18.9,27,66,181.1,1
26.4,18.6,14.9,18.9,23,68.2,177,1
27.5,19.2,13.5,19.3,31,63.9,174.5,1
27.5,19.4,12.6,18.4,26,72,177.5,1
28.1,21.8,12.9,18.6,23,56.8,170.5,1
28.8,20.6,14.3,19.8,24,74.5,182.4,1
29.2,23.6,15.8,20.2,24,90.9,197.1,1
32.6,22.4,14.1,18.2,34,93,180.1,1
30.1,21.2,14,21.6,21,80.9,175.5,1
26.5,20.6,13.4,18.8,25,72.7,180.6,1
28.7,19.3,13.5,19.5,34,68,184.4,1
29.7,20.2,13.3,18.3,31,70.9,175.5,1
27.9,20.2,12.6,18.5,40,72.5,180.6,1
26.3,19.7,14.4,20.2,21,72.5,177,1
28.2,21.2,14.2,20,33,83.4,177.1,1
28.2,19.4,13.8,17.8,25,75.5,181.6,1
27.5,19.2,14.1,19.1,29,73,176.5,1
30,19.1,14.8,19.8,27,70.2,175,1
27.6,19.7,13.9,18.7,44,73.4,174,1
27.1,20.1,12.9,18.8,26,70.5,165.1,1
29.5,18.2,13.1,19.1,22,68.9,177,1
31,25,14.6,20.9,37,102.3,192,1
28.6,19.8,13.9,20,38,68.4,176.5,1
27.1,17.8,13.3,18.5,20,65.9,169.4,1
27,22.3,13.2,19.1,21,75.7,182.1,1
27.9,21.6,14.3,21.1,24,84.5,179.8,1
28,24.2,13.4,20.6,45,87.7,175.3,1
30.1,21.6,14.2,19.2,25,86.4,184.9,1
28,18.1,14.3,20.2,22,73.2,177.3,1
27.3,18.2,13.2,18.7,29,53.9,167.4,1
27.5,18.1,13.8,19,37,72,178.1,1
19.4,17.1,13,16.9,20,55.5,168.9,1
25.2,19.1,13,17.9,20,58.4,157.2,1
29.9,22.3,14.4,20.5,32,83.2,180.3,1
28,19.4,14.6,19.5,23,72.7,170.2,1
27.1,18.2,13.8,18.9,25,64.1,177.8,1
24.9,19,14.4,19.5,27,72.3,172.7,1
28.5,17.7,14,19.1,21,65,165.1,1
30.2,21.8,15.2,19.8,27,86.4,186.7,1
24.4,17.7,12.9,18,25,65,165.1,1
31.7,22.8,13.8,19.4,38,88.6,174,1
30.6,22.1,15,20.2,44,84.1,175.3,1
28.3,19.4,13.4,19,27,66.8,185.4,1
