일자,시가,저가,고가,종가,거래량
2013-01-02,26150,26100,26650,26600,5151547
2013-01-03,26900,26400,27100,26650,4587780
2013-01-04,26800,26200,26900,26350,4856327
2013-01-07,26400,25650,26450,25900,4283105
2013-01-08,26050,25950,26550,26250,3468081
2013-01-09,26500,25950,26600,26050,2517811
2013-01-10,26150,25850,26800,26800,4762542
2013-01-11,27100,26500,27250,27100,6269825
2013-01-14,27250,26850,27300,26950,3130049
2013-01-15,26800,25800,27000,25950,6736761
2013-01-16,26200,26050,26700,26200,5723625
2013-01-17,26350,25450,26350,25900,4758701
2013-01-18,26050,25500,26150,25600,5547605
2013-01-21,25750,25300,25850,25750,3295467
2013-01-22,25500,24850,25700,25050,7158297
2013-01-23,25050,24600,25100,24650,6619066
2013-01-24,24600,24050,24650,24250,6007784
2013-01-25,24300,23800,24700,24200,5001969
2013-01-28,24150,24000,24500,24400,2586394
2013-01-29,24500,24100,24550,24200,4408627
2013-01-30,24650,24300,24950,24350,5631792
2013-01-31,24400,24200,24600,24400,4329870
2013-02-01,24250,24050,24450,24200,4025938
2013-02-04,24500,24300,24600,24300,2604422
2013-02-05,24050,23600,24200,23700,4574149
2013-02-06,23850,23800,24650,24500,5764265
2013-02-07,24650,24550,25000,24850,4681401
2013-02-08,24850,24550,25000,24750,3258865
2013-02-12,24950,24800,25300,25000,3432175
2013-02-13,25250,25200,25600,25500,4490716
2013-02-14,25550,25350,25750,25700,2859954
2013-02-15,25700,25550,25750,25650,2277981
2013-02-18,25600,25550,26000,25900,2456890
2013-02-19,25800,25750,26100,25850,1779504
2013-02-20,26250,26200,26700,26500,6657608
2013-02-21,26350,26300,26650,26600,2826255
2013-02-22,26400,26300,26600,26400,2689623
2013-02-25,26500,26050,26550,26300,2604691
2013-02-26,26100,25850,26650,26550,3772301
2013-02-27,26850,26250,26950,26250,3098659
2013-02-28,26700,26500,26750,26500,4038185
2013-03-04,26600,25900,26700,26000,3753949
2013-03-05,26400,26400,27200,27000,8141593
2013-03-06,27650,27600,28200,28000,11109877
2013-03-07,28100,27850,28450,28150,6588200
2013-03-08,28350,27800,28400,28250,3607159
2013-03-11,28250,28200,28800,28600,6597705
2013-03-12,28850,28050,28900,28100,3957978
2013-03-13,28300,28100,28550,28300,2769799
2013-03-14,28450,28400,29000,28900,5071138
2013-03-15,29000,28400,29200,28800,4473661
2013-03-18,28550,28400,28900,28400,2926693
2013-03-19,28800,28350,28900,28650,3232956
2013-03-20,28500,28350,28850,28600,2632433
2013-03-21,28850,28050,28900,28050,3426566
2013-03-22,27900,27650,28450,28300,3555515
2013-03-25,29050,28850,29200,29050,3959211
2013-03-26,29050,29000,29500,29500,5570927
2013-03-27,29600,29200,29700,29450,3184531
2013-03-28,29450,28950,29450,29250,3223050
2013-03-29,29500,28750,29650,28750,3045853
2013-04-01,28900,28600,29050,28650,1972865
2013-04-02,28750,28350,28900,28400,3577498
2013-04-03,28600,28550,29150,28900,3584222
2013-04-04,28550,28400,29200,29200,4869239
2013-04-05,29300,28350,29300,28550,3681853
2013-04-08,28600,27800,28700,27900,4153747
2013-04-09,27900,27300,28200,27800,4473759
2013-04-10,28150,27800,28200,27950,2896417
2013-04-11,28450,28300,29100,29000,5236997
2013-04-12,29050,28650,29350,28800,3407336
2013-04-15,28950,28700,29350,29150,2715965
2013-04-16,28850,28750,29250,29100,3276359
2013-04-17,29350,28650,29400,28750,3075896
2013-04-18,28400,27850,28500,27900,5206918
2013-04-19,27900,27850,28850,28800,3895261
2013-04-22,28800,28600,29100,29000,2012549
2013-04-23,29050,28450,29050,28850,2009817
2013-04-24,29400,29000,29600,29100,4683116
2013-04-25,29650,29450,29950,29500,11394824
2013-04-26,29400,29250,29750,29450,2667806
2013-04-29,29550,29500,29850,29550,2368216
2013-04-30,29850,29550,30000,29900,4973679
2013-05-02,29750,29300,29850,29450,2792031
2013-05-03,29650,29000,29700,29550,3767197
2013-05-06,29700,28850,29850,28900,4225049
2013-05-07,28900,28400,28950,28600,3154316
2013-05-08,28900,28400,28900,28550,3400637
2013-05-09,28500,28500,29250,29050,4575248
2013-05-10,29200,29050,29550,29100,4776435
2013-05-13,29000,28900,29200,29100,2518819
